age,fnlwgt,class
29,103432, <=50K
32,317660, >50K
17,304873, <=50K
30,194901, <=50K
31,189265, <=50K
42,124692, <=50K
24,432376, <=50K
38,65324, >50K
56,335605, >50K
28,377869, <=50K
36,102864, <=50K
53,95647, <=50K
56,303090, <=50K
49,197371, >50K
55,247552, <=50K
22,102632, <=50K
21,199915, <=50K
40,118853, <=50K
30,77143, <=50K
29,267989, >50K
19,301606, <=50K
47,287828, >50K
20,111697, <=50K
31,114937, >50K
35,129305, <=50K
39,365739, <=50K
28,69621, <=50K
24,43323, <=50K
38,120985, <=50K
37,254202, <=50K
46,146195, <=50K
38,125933, >50K
43,56920, <=50K
27,163127, <=50K
20,34310, <=50K
49,81973, >50K
61,66614, <=50K
27,232782, <=50K
19,316868, <=50K
45,196584, >50K
70,105376, <=50K
31,185814, <=50K
22,175374, <=50K
36,108293, <=50K
64,181232, <=50K
43,174662, <=50K
47,186009, <=50K
34,198183, <=50K
33,163003, <=50K
21,296158, <=50K
52,252903, >50K
48,187715, <=50K
23,214542, <=50K
71,494223, <=50K
29,191535, <=50K
42,228456, <=50K
68,38317, <=50K
25,252752, <=50K
44,78374, <=50K
28,88419, <=50K
45,201080, >50K
36,207157, <=50K
39,235485, <=50K
46,102628, <=50K
18,25828, <=50K
66,54826, <=50K
27,124953, <=50K
28,175325, <=50K
51,96062, >50K
27,428030, <=50K
28,149624, >50K
27,253814, <=50K
21,312956, <=50K
34,483777, <=50K
18,183930, <=50K
33,37274, <=50K
44,181344, >50K
43,114580, <=50K
30,633742, <=50K
40,286370, >50K
37,29054, >50K
34,304030, <=50K
41,143129, <=50K
53,135105, <=50K
31,99928, <=50K
58,109567, >50K
38,155222, <=50K
24,159567, <=50K
41,523910, <=50K
47,120939, <=50K
41,130760, <=50K
23,197387, <=50K
36,99374, <=50K
40,56795, >50K
35,138992, >50K
24,32921, <=50K
26,397317, <=50K
19,170653, <=50K
51,259323, >50K
42,254817, <=50K
37,48211, <=50K
18,140164, <=50K
36,128757, >50K
35,36270, <=50K
58,210563, >50K
17,65368, <=50K
44,160943, <=50K
37,208358, >50K
35,153790, <=50K
60,85815, <=50K
54,125417, >50K
37,635913, >50K
50,313321, <=50K
38,182609, <=50K
45,109434, <=50K
25,255004, <=50K
31,197860, <=50K
64,187656, <=50K
90,51744, <=50K
54,176681, <=50K
53,140359, <=50K
18,243313, <=50K
60,24215, <=50K
66,167687, <=50K
75,314209, <=50K
65,176796, <=50K
35,538583, <=50K
41,130408, <=50K
25,159732, <=50K
33,110978, <=50K
28,76714, >50K
59,268700, <=50K
40,170525, <=50K
41,180138, >50K
38,115076, >50K
23,115458, <=50K
40,347890, >50K
41,196001, <=50K
24,273905, <=50K
20,119156, <=50K
38,179488, <=50K
56,203580, <=50K
58,236596, >50K
32,183916, <=50K
40,207578, >50K
45,153141, <=50K
41,112763, >50K
42,390781, <=50K
59,171328, <=50K
19,27382, <=50K
58,259014, <=50K
42,303044, >50K
20,117789, <=50K
32,172579, <=50K
45,187666, <=50K
50,204518, <=50K
36,150042, <=50K
45,98092, <=50K
17,245918, <=50K
59,146013, <=50K
26,378322, <=50K
37,257295, >50K
19,218956, <=50K
64,21174, >50K
33,185480, <=50K
33,222205, >50K
61,69867, >50K
17,191260, <=50K
50,30653, <=50K
27,209109, <=50K
30,70377, <=50K
43,477983, <=50K
44,170924, >50K
35,190174, <=50K
25,193787, <=50K
24,279472, >50K
22,34918, <=50K
42,97688, >50K
34,175413, <=50K
60,173960, <=50K
21,205759, <=50K
57,425161, >50K
41,220531, >50K
50,176609, <=50K
25,371987, <=50K
50,193884, <=50K
36,200352, <=50K
31,127595, <=50K
29,220419, <=50K
21,231931, <=50K
27,248402, <=50K
65,111095, <=50K
37,57424, <=50K
39,157443, <=50K
24,278130, <=50K
38,169469, <=50K
48,146268, >50K
21,153718, <=50K
31,217460, >50K
55,238638, >50K
24,303296, <=50K
43,173321, <=50K
26,193945, <=50K
46,83082, <=50K
35,193815, >50K
41,34987, >50K
26,59306, <=50K
34,142897, >50K
19,860348, <=50K
36,205607, >50K
22,199698, <=50K
24,191954, <=50K
77,138714, <=50K
22,399087, <=50K
29,423158, <=50K
62,159841, <=50K
39,174308, <=50K
43,50356, <=50K
35,186110, <=50K
29,200381, <=50K
76,174309, <=50K
63,78383, <=50K
23,211601, <=50K
43,187728, >50K
58,321171, <=50K
66,127921, <=50K
41,206565, <=50K
26,224563, <=50K
47,178686, <=50K
55,98545, <=50K
53,242606, <=50K
17,270942, <=50K
30,94235, <=50K
49,71195, <=50K
19,104112, <=50K
45,261192, <=50K
26,94936, <=50K
38,296478, >50K
36,119272, >50K
33,85043, <=50K
22,293364, <=50K
43,241895, <=50K
67,36135, <=50K
30,151989, <=50K
56,101128, <=50K
31,156464, <=50K
33,117963, >50K
26,192262, <=50K
33,111363, >50K
46,329752, <=50K
59,372020, >50K
38,95432, >50K
65,161400, <=50K
40,96129, >50K
42,111949, <=50K
26,117125, <=50K
36,348022, <=50K
62,270092, >50K
43,180609, <=50K
43,174575, >50K
22,410439, <=50K
28,92262, <=50K
56,183081, <=50K
22,362589, <=50K
57,212448, >50K
39,481060, <=50K
26,185885, <=50K
17,89821, <=50K
40,184018, >50K
45,256649, <=50K
44,160323, <=50K
20,350845, <=50K
33,267404, <=50K
23,35633, <=50K
46,80914, <=50K
38,172927, <=50K
54,174319, <=50K
46,214955, <=50K
25,344991, <=50K
46,108699, <=50K
36,117312, <=50K
23,396099, <=50K
29,134152, <=50K
44,162028, >50K
19,25429, <=50K
19,232392, <=50K
35,220098, >50K
27,301302, <=50K
46,277946, <=50K
34,98101, >50K
34,196164, <=50K
44,115562, <=50K
45,96975, <=50K
20,137300, <=50K
25,86872, >50K
52,132178, >50K
20,416103, <=50K
28,108574, <=50K
50,288353, >50K
34,227689, <=50K
28,166481, <=50K
41,445382, >50K
28,110145, <=50K
46,317253, <=50K
28,123147, >50K
32,364657, <=50K
41,42346, <=50K
24,241951, <=50K
33,118500, <=50K
46,188386, >50K
31,1033222, <=50K
35,92440, >50K
52,190762, <=50K
30,426017, <=50K
34,243867, <=50K
34,240283, <=50K
20,61777, <=50K
17,175024, <=50K
32,92003, >50K
29,188401, <=50K
33,228528, <=50K
25,133373, <=50K
36,255191, <=50K
23,204653, <=50K
63,222289, >50K
47,287480, <=50K
80,107762, <=50K
17,202521, <=50K
40,204116, <=50K
30,29662, >50K
27,116358, <=50K
33,208405, >50K
34,284843, <=50K
34,117018, <=50K
23,81281, <=50K
42,340148, <=50K
29,363425, <=50K
45,45857, <=50K
24,191073, <=50K
44,116632, >50K
27,405855, <=50K
20,298227, <=50K
44,290521, <=50K
51,56915, <=50K
20,146538, <=50K
17,258872, <=50K
19,206399, <=50K
45,197332, >50K
60,245062, >50K
42,197583, >50K
44,234885, >50K
40,72887, >50K
30,180374, <=50K
38,351299, <=50K
23,54012, <=50K
32,115745, <=50K
44,116632, <=50K
54,288825, <=50K
32,132601, <=50K
50,193374, <=50K
24,170070, <=50K
37,126708, <=50K
52,35598, <=50K
38,33983, <=50K
49,192776, >50K
30,118551, >50K
60,201965, >50K
22,139883, <=50K
35,285020, <=50K
30,303990, <=50K
67,49401, <=50K
46,279196, <=50K
17,211870, <=50K
22,281432, <=50K
27,161155, <=50K
23,197904, <=50K
33,111746, <=50K
43,170721, <=50K
28,70100, <=50K
41,193626, <=50K
52,271749, <=50K
25,189775, <=50K
63,401531, <=50K
59,286967, <=50K
45,164427, <=50K
38,91039, >50K
40,347934, <=50K
46,371373, <=50K
35,32220, <=50K
34,187251, <=50K
33,178107, <=50K
41,343121, <=50K
20,262749, <=50K
23,403107, <=50K
26,64293, <=50K
72,303588, <=50K
23,324960, <=50K
62,114060, <=50K
52,48925, <=50K
58,180980, <=50K
25,181054, <=50K
24,388093, <=50K
19,249609, <=50K
43,112131, <=50K
47,543162, <=50K
39,91996, <=50K
49,141944, <=50K
53,251804, <=50K
32,37070, <=50K
34,337587, >50K
28,189346, <=50K
57,222216, <=50K
25,267044, <=50K
20,214635, <=50K
21,204226, <=50K
34,108116, >50K
38,99146, >50K
50,196232, >50K
24,248344, <=50K
37,186035, >50K
44,177905, >50K
28,85812, <=50K
42,221172, >50K
74,99183, <=50K
38,190387, <=50K
44,202692, <=50K
44,109339, <=50K
26,108658, <=50K
36,197202, <=50K
41,101739, >50K
67,231559, >50K
39,207853, <=50K
57,190942, <=50K
29,102345, <=50K
31,41493, <=50K
34,190027, <=50K
44,210525, <=50K
29,133937, <=50K
30,237903, <=50K
27,163862, <=50K
27,201872, <=50K
32,84179, <=50K
58,51662, <=50K
35,233327, <=50K
21,259510, <=50K
28,184831, <=50K
46,245724, <=50K
36,27053, <=50K
72,205343, <=50K
35,229328, <=50K
33,319560, >50K
69,136218, <=50K
35,54576, <=50K
31,323069, <=50K
34,148291, <=50K
30,152453, <=50K
28,114053, <=50K
54,212960, >50K
47,264052, >50K
24,82804, <=50K
52,334273, >50K
20,27337, <=50K
43,188436, <=50K
45,433665, <=50K
29,110663, <=50K
47,87490, <=50K
24,354351, <=50K
51,95469, <=50K
17,242718, <=50K
37,22463, >50K
27,158156, <=50K
29,350162, >50K
18,165532, <=50K
36,28738, <=50K
58,283635, <=50K
26,86646, <=50K
65,195733, >50K
57,69884, >50K
59,199713, <=50K
27,181659, <=50K
31,340939, <=50K
21,197747, <=50K
29,34292, <=50K
18,156764, <=50K
52,25826, >50K
57,103948, <=50K
42,137390, <=50K
55,105138, <=50K
60,39352, >50K
31,168387, >50K
23,117789, <=50K
27,267147, <=50K
23,99399, <=50K
42,214242, >50K
25,200408, <=50K
49,136455, <=50K
32,239824, <=50K
19,217039, <=50K
60,51290, <=50K
42,175674, <=50K
35,194404, <=50K
48,45612, <=50K
51,410114, >50K
29,182521, <=50K
36,339772, <=50K
17,169658, <=50K
52,200853, <=50K
24,247564, <=50K
24,249909, <=50K
26,208122, <=50K
27,109881, <=50K
39,207824, <=50K
30,369027, <=50K
50,114117, <=50K
52,51048, <=50K
46,102388, >50K
23,190483, <=50K
45,462440, <=50K
65,109351, <=50K
29,34383, <=50K
47,241832, <=50K
30,124187, <=50K
34,153614, >50K
38,267556, <=50K
33,205469, >50K
49,268090, >50K
47,165039, <=50K
49,120451, <=50K
43,154374, >50K
30,103649, >50K
58,35723, <=50K
19,262601, <=50K
21,226181, <=50K
33,175697, >50K
47,248145, <=50K
52,289436, >50K
26,75654, <=50K
60,199378, <=50K
21,160968, <=50K
36,188563, >50K
31,55849, <=50K
50,195322, >50K
31,402089, <=50K
71,78277, <=50K
58,158611, <=50K
30,169496, >50K
20,130959, <=50K
24,556660, <=50K
35,292472, >50K
38,143774, <=50K
27,288341, <=50K
29,71592, <=50K
70,167358, <=50K
34,106742, <=50K
44,219288, <=50K
43,174524, >50K
44,335183, >50K
35,261293, <=50K
27,111900, <=50K
43,194360, <=50K
20,81145, <=50K
42,341204, >50K
27,249362, <=50K
42,247019, >50K
20,114746, <=50K
24,172146, <=50K
48,110457, <=50K
17,80077, <=50K
17,368700, <=50K
33,182556, >50K
50,219420, >50K
22,240817, <=50K
17,102726, <=50K
32,226267, <=50K
31,125457, <=50K
58,204021, <=50K
29,92262, <=50K
37,161141, >50K
34,190290, >50K
23,430828, <=50K
18,59342, <=50K
34,136721, <=50K
66,149422, <=50K
45,86644, <=50K
41,195124, <=50K
26,167350, <=50K
54,113000, <=50K
24,140027, <=50K
42,262425, <=50K
20,316702, <=50K
23,335453, <=50K
25,202480, <=50K
35,203628, >50K
31,118710, >50K
30,189620, <=50K
19,475028, <=50K
36,110866, <=50K
31,243605, <=50K
21,163870, <=50K
31,80145, <=50K
46,295566, >50K
44,63042, >50K
40,229148, <=50K
45,242552, <=50K
60,177665, <=50K
18,208103, <=50K
28,296450, <=50K
36,70282, <=50K
36,271767, <=50K
40,144995, <=50K
36,382635, <=50K
31,295697, <=50K
33,194141, <=50K
19,378418, <=50K
22,214399, <=50K
34,217460, >50K
33,182556, <=50K
41,125831, <=50K
29,271328, <=50K
50,50459, >50K
42,162140, >50K
43,177937, >50K
44,111502, <=50K
20,299047, <=50K
31,223212, <=50K
65,118474, >50K
23,352139, <=50K
55,173093, <=50K
26,181655, <=50K
25,332702, <=50K
45,51164, <=50K
35,234901, <=50K
36,131414, <=50K
43,260960, <=50K
56,156052, <=50K
42,279914, >50K
19,192453, <=50K
55,200939, <=50K
42,151408, >50K
26,112847, <=50K
17,316929, <=50K
42,126319, >50K
55,197422, >50K
32,267736, <=50K
29,267034, <=50K
46,193047, <=50K
29,356089, >50K
22,223515, <=50K
58,87510, <=50K
23,145111, <=50K
39,48093, <=50K
27,31757, <=50K
54,285854, >50K
33,120064, <=50K
46,167381, >50K
37,103408, <=50K
36,101460, <=50K
59,420537, >50K
34,119411, <=50K
53,128272, >50K
51,386773, >50K
32,283268, <=50K
31,301526, <=50K
22,151790, <=50K
47,106252, <=50K
32,188557, <=50K
26,171114, <=50K
37,327323, <=50K
31,244147, <=50K
37,280282, >50K
55,116442, <=50K
23,282579, <=50K
36,51838, <=50K
34,73585, <=50K
43,226902, >50K
54,279129, <=50K
43,146908, <=50K
28,196690, <=50K
40,130760, >50K
41,49572, <=50K
40,237601, >50K
42,169628, <=50K
61,36671, <=50K
18,231193, <=50K
59,192130, <=50K
21,149704, <=50K
48,102102, >50K
41,32185, <=50K
18,196061, <=50K
23,211046, <=50K
60,31577, >50K
22,162343, <=50K
61,128831, <=50K
25,316688, <=50K
46,90758, >50K
43,274363, >50K
43,154538, <=50K
24,106085, <=50K
68,315859, <=50K
31,51471, <=50K
17,193830, <=50K
32,231043, >50K
50,23780, <=50K
33,169879, >50K
64,270333, >50K
20,138768, <=50K
30,191571, <=50K
22,219941, <=50K
43,94113, <=50K
22,137510, <=50K
17,32607, <=50K
47,93208, <=50K
41,254440, <=50K
56,186556, >50K
64,169871, <=50K
47,191277, >50K
48,167159, <=50K
31,171871, <=50K
29,154411, <=50K
30,129227, <=50K
32,110331, <=50K
57,34269, >50K
62,174355, <=50K
39,680390, <=50K
43,233130, <=50K
24,165474, <=50K
42,257780, <=50K
53,194259, >50K
26,280093, <=50K
73,177387, <=50K
72,28929, <=50K
55,105304, <=50K
25,499233, <=50K
41,180572, >50K
24,321435, <=50K
63,86108, <=50K
17,198124, <=50K
35,135162, <=50K
51,146813, >50K
62,291175, <=50K
55,387569, >50K
43,102895, <=50K
40,33274, <=50K
37,86551, >50K
39,138192, <=50K
31,118966, <=50K
61,99784, >50K
26,90980, <=50K
46,177407, <=50K
26,96467, <=50K
48,327886, >50K
34,111567, <=50K
34,166545, <=50K
59,142182, >50K
34,188798, <=50K
49,38563, >50K
18,216284, <=50K
43,191547, <=50K
48,285335, <=50K
28,142712, <=50K
33,80945, <=50K
24,309055, <=50K
21,62339, <=50K
17,368700, <=50K
39,176186, >50K
29,266855, <=50K
44,48087, >50K
24,121313, <=50K
71,143437, >50K
51,160724, >50K
55,282753, <=50K
41,194636, >50K
23,153044, <=50K
38,411797, <=50K
39,117683, >50K
19,376540, <=50K
49,72393, <=50K
32,270335, >50K
27,96226, <=50K
38,95336, >50K
33,258498, <=50K
63,149698, <=50K
23,205865, <=50K
33,155781, <=50K
54,406468, <=50K
29,177119, <=50K
48,144397, <=50K
35,372525, <=50K
28,164170, <=50K
37,183800, >50K
42,177307, >50K
40,170108, <=50K
47,341995, <=50K
22,226508, <=50K
30,87418, >50K
28,109165, <=50K
63,28856, <=50K
51,175897, <=50K
22,99697, <=50K
27,90270, <=50K
35,152375, <=50K
46,171550, <=50K
37,211154, <=50K
24,202570, <=50K
37,168496, <=50K
53,68898, <=50K
27,93235, <=50K
38,278924, <=50K
53,311020, <=50K
34,175878, <=50K
23,543028, <=50K
39,202027, >50K
43,158926, <=50K
67,76860, >50K
81,136063, <=50K
21,186648, <=50K
23,257509, <=50K
25,98155, <=50K
42,274198, <=50K
38,97083, <=50K
64,29825, <=50K
32,262153, <=50K
37,214738, <=50K
51,138022, >50K
22,91842, <=50K
33,373662, <=50K
42,162003, <=50K
19,52114, <=50K
51,241843, <=50K
23,375871, <=50K
37,186934, >50K
37,176900, >50K
47,21906, <=50K
41,132222, >50K
33,143653, <=50K
31,111567, >50K
31,78602, <=50K
35,465507, <=50K
38,196373, >50K
18,293227, <=50K
20,241752, <=50K
54,166398, <=50K
40,184682, <=50K
36,108293, >50K
43,250802, <=50K
44,325159, <=50K
44,174675, >50K
43,227065, >50K
51,269080, <=50K
18,177722, <=50K
51,133461, <=50K
41,239683, <=50K
44,398473, >50K
33,298785, <=50K
33,123424, >50K
42,176286, >50K
25,150062, <=50K
32,169240, <=50K
32,288273, <=50K
36,526968, <=50K
28,57066, <=50K
20,323573, <=50K
35,368825, >50K
55,189721, <=50K
48,164966, >50K
36,94954, <=50K
34,202046, >50K
28,161538, <=50K
67,105252, >50K
37,200153, <=50K
44,32185, <=50K
25,178326, <=50K
21,255957, <=50K
40,188693, >50K
78,182977, <=50K
34,159929, <=50K
49,123207, <=50K
22,284317, <=50K
23,184699, <=50K
60,154474, <=50K
45,318280, >50K
63,254907, <=50K
41,349221, <=50K
47,335973, <=50K
44,126701, <=50K
51,122159, <=50K
46,187370, <=50K
41,194636, <=50K
50,124793, <=50K
47,192835, >50K
35,290226, <=50K
56,112840, >50K
45,89325, <=50K
48,33109, >50K
40,82465, <=50K
39,329980, >50K
20,148294, <=50K
50,168212, >50K
38,343642, >50K
23,115244, <=50K
31,162572, <=50K
58,356067, <=50K
66,271567, <=50K
39,180804, >50K
54,123011, >50K
26,109186, <=50K
51,220537, <=50K
34,124827, <=50K
50,767403, >50K
42,118494, >50K
38,173208, <=50K
48,107373, <=50K
33,26973, >50K
51,191965, <=50K
22,122346, <=50K
19,117201, <=50K
41,198316, <=50K
48,123075, >50K
42,209370, <=50K
34,33117, <=50K
23,129042, <=50K
56,169133, <=50K
30,201624, <=50K
45,368561, >50K
48,207848, <=50K
48,138370, <=50K
31,93106, <=50K
20,223515, <=50K
27,389713, <=50K
32,206365, <=50K
76,431192, <=50K
19,241616, <=50K
66,150726, <=50K
37,123785, <=50K
34,289984, <=50K
34,164309, <=50K
90,137018, <=50K
23,137994, <=50K
43,341204, <=50K
44,167005, >50K
24,34446, <=50K
28,187160, <=50K
64,196288, <=50K
23,217961, <=50K
20,74631, <=50K
36,156667, >50K
61,125155, <=50K
53,263925, >50K
30,296453, >50K
52,44728, >50K
38,193026, <=50K
32,87643, <=50K
30,106742, <=50K
41,302122, <=50K
49,193960, >50K
45,185385, >50K
43,277647, <=50K
61,128848, <=50K
54,377701, <=50K
34,157886, <=50K
49,175958, >50K
38,223004, <=50K
35,199352, >50K
36,29984, <=50K
30,181651, <=50K
36,117312, <=50K
22,34029, <=50K
38,132879, >50K
37,215310, >50K
48,55863, >50K
17,220384, <=50K
19,36012, <=50K
27,137645, <=50K
22,191342, <=50K
49,31339, <=50K
43,227910, >50K
43,173728, <=50K
19,167816, <=50K
58,81642, <=50K
41,195258, >50K
31,232475, <=50K
30,241259, <=50K
32,118161, <=50K
29,201954, <=50K
42,150533, >50K
38,412296, <=50K
41,133060, >50K
44,120539, >50K
31,196025, <=50K
34,107793, <=50K
21,163870, <=50K
22,361280, <=50K
62,92178, <=50K
19,80710, <=50K
29,260729, >50K
43,182254, <=50K
68,140282, <=50K
45,149865, >50K
39,218184, <=50K
41,118619, <=50K
34,196791, >50K
34,167999, <=50K
31,51259, <=50K
29,131088, <=50K
41,118212, >50K
41,293791, <=50K
35,289430, >50K
33,35378, >50K
37,60227, <=50K
69,168139, <=50K
34,290763, <=50K
60,226355, >50K
36,51100, <=50K
41,227644, <=50K
58,205267, >50K
53,288020, <=50K
29,140863, <=50K
45,170915, <=50K
34,50178, <=50K
36,112497, <=50K
48,95244, <=50K
20,117606, <=50K
35,89508, >50K
63,124244, <=50K
41,154374, <=50K
28,294936, <=50K
30,347132, <=50K
34,181934, <=50K
31,316672, <=50K
37,189382, <=50K
42,184018, <=50K
31,184307, >50K
46,246212, >50K
35,250504, >50K
27,138705, <=50K
41,328447, <=50K
19,194608, <=50K
20,230891, <=50K
59,212448, <=50K
40,214010, <=50K
56,200235, <=50K
33,354573, >50K
30,205733, <=50K
46,185041, <=50K
61,84409, >50K
50,293196, >50K
25,241626, <=50K
40,520586, <=50K
24,35633, <=50K
51,302847, <=50K
43,165309, <=50K
34,117529, <=50K
46,106092, >50K
28,445824, >50K
26,227332, <=50K
20,275691, <=50K
44,193459, <=50K
51,284329, <=50K
33,114691, >50K
54,96062, >50K
50,133963, >50K
33,178506, <=50K
65,350498, >50K
22,131573, <=50K
88,206291, <=50K
40,182302, <=50K
51,241346, <=50K
50,157043, <=50K
25,404616, >50K
20,411862, <=50K
47,183013, <=50K
58,169982, >50K
22,188544, <=50K
50,356619, >50K
47,45857, <=50K
24,289886, <=50K
50,146015, >50K
40,216237, >50K
36,416745, <=50K
32,202952, <=50K
44,167725, <=50K
51,165637, <=50K
59,43280, <=50K
65,118779, <=50K
24,191269, <=50K
27,247507, <=50K
51,239155, <=50K
48,182862, >50K
39,33886, <=50K
28,444304, <=50K
19,187161, <=50K
49,116892, <=50K
51,176813, <=50K
59,151616, <=50K
18,240747, <=50K
50,75472, <=50K
45,320818, >50K
30,235271, >50K
37,166497, <=50K
44,344060, >50K
33,221196, <=50K
61,113544, >50K
61,321117, <=50K
38,79619, >50K
22,42004, <=50K
36,135289, <=50K
44,320984, >50K
37,203070, <=50K
31,32406, <=50K
54,99185, >50K
20,205839, <=50K
63,150389, >50K
48,243631, >50K
33,163003, <=50K
31,231263, <=50K
38,200818, >50K
45,247379, >50K
48,349151, <=50K
53,22154, <=50K
55,176317, <=50K
38,22245, >50K
29,236436, <=50K
36,354078, >50K
42,166813, <=50K
50,358740, <=50K
75,208426, <=50K
46,265266, >50K
52,31838, <=50K
27,175034, <=50K
43,413297, <=50K
31,106347, <=50K
23,174754, <=50K
34,441454, <=50K
41,209344, <=50K
31,185732, <=50K
42,65372, <=50K
35,33975, >50K
55,326297, <=50K
36,194630, <=50K
65,167414, >50K
38,165799, <=50K
62,192866, <=50K
54,166459, >50K
49,148995, <=50K
34,190040, <=50K
32,209432, <=50K
51,229465, >50K
48,397466, <=50K
30,283767, <=50K
52,202452, <=50K
28,218555, <=50K
29,128604, <=50K
38,65466, <=50K
57,141326, >50K
43,369468, >50K
37,136137, <=50K
30,236770, <=50K
53,89534, >50K
69,195779, <=50K
73,29778, <=50K
22,153516, <=50K
31,163594, <=50K
38,189623, >50K
50,343748, <=50K
37,387430, <=50K
44,409505, <=50K
47,200734, <=50K
27,115831, <=50K
28,150296, <=50K
25,323545, <=50K
20,232577, <=50K
51,152754, >50K
46,129007, >50K
67,171584, >50K
47,386136, <=50K
42,342865, <=50K
52,186785, <=50K
42,158926, >50K
65,36039, >50K
21,164019, <=50K
50,88926, >50K
46,188861, <=50K
47,370119, >50K
57,182062, <=50K
37,37238, <=50K
50,421132, <=50K
58,178660, <=50K
63,795830, <=50K
39,278403, <=50K
46,279661, <=50K
36,113397, <=50K
26,280093, <=50K
21,236696, <=50K
41,265266, <=50K
44,34935, <=50K
22,58222, <=50K
29,301010, <=50K
29,419721, <=50K
58,186791, >50K
36,180686, <=50K
30,209103, <=50K
37,32668, >50K
29,256956, <=50K
26,202203, <=50K
43,85995, <=50K
49,125421, >50K
45,283037, <=50K
28,192932, <=50K
20,244689, <=50K
51,179646, <=50K
32,509350, >50K
24,96279, <=50K
35,119098, >50K
35,327120, <=50K
41,144928, >50K
48,55237, >50K
61,101265, <=50K
20,114874, <=50K
27,190525, >50K
55,121912, >50K
39,83893, >50K
17,138507, <=50K
47,256522, <=50K
52,168381, >50K
24,293579, <=50K
29,285290, <=50K
25,188488, <=50K
20,324469, <=50K
23,275244, <=50K
57,265099, <=50K
51,146767, >50K
33,40681, <=50K
39,174938, <=50K
40,240124, >50K
71,269708, <=50K
38,34180, <=50K
28,225904, <=50K
57,89392, <=50K
47,46857, <=50K
59,105363, <=50K
26,195105, <=50K
35,184117, <=50K
61,134768, >50K
17,145886, <=50K
36,153078, >50K
62,225652, <=50K
34,467108, >50K
32,199765, >50K
42,173938, <=50K
39,191161, <=50K
58,132606, <=50K
61,30073, >50K
40,155190, <=50K
31,42900, <=50K
36,191161, <=50K
23,181820, <=50K
33,105974, <=50K
52,146378, >50K
22,103440, <=50K
51,203435, <=50K
31,168312, <=50K
49,257764, <=50K
49,171301, <=50K
53,225339, <=50K
52,152234, >50K
20,444554, <=50K
26,403788, <=50K
61,190997, <=50K
43,221550, <=50K
46,98929, <=50K
43,169203, <=50K
41,102332, <=50K
44,230684, <=50K
54,449257, <=50K
65,198766, >50K
32,97429, <=50K
25,208999, <=50K
23,37072, <=50K
25,163101, <=50K
19,119075, <=50K
37,137314, <=50K
45,127303, <=50K
37,349116, <=50K
40,266324, >50K
19,194095, <=50K
17,46496, <=50K
27,29904, <=50K
40,289403, >50K
59,226922, <=50K
19,234151, <=50K
43,238287, <=50K
42,230624, >50K
54,398212, <=50K
54,114758, <=50K
51,246519, <=50K
50,137815, >50K
40,260696, <=50K
55,325007, <=50K
50,113176, <=50K
31,66815, <=50K
42,51795, <=50K
24,241523, >50K
30,30226, <=50K
39,352628, >50K
37,143912, <=50K
33,130021, <=50K
48,329778, <=50K
43,196945, <=50K
39,24342, >50K
53,34368, >50K
52,173839, <=50K
28,73211, <=50K
32,86723, <=50K
31,179186, >50K
31,127610, >50K
47,115070, <=50K
19,172582, <=50K
40,256202, <=50K
40,202872, <=50K
41,184102, <=50K
53,130703, <=50K
46,134727, <=50K
45,36228, >50K
39,297847, <=50K
19,213644, <=50K
57,173796, >50K
49,147322, <=50K
59,296253, <=50K
