age,fnlwgt,capital-gain,class
19,301606,0, <=50K
47,287828,0, >50K
20,111697,0, <=50K
31,114937,0, >50K
35,129305,0, <=50K
39,365739,0, <=50K
28,69621,0, <=50K
24,43323,0, <=50K
38,120985,4386, <=50K
37,254202,0, <=50K
46,146195,0, <=50K
38,125933,0, >50K
43,56920,0, <=50K
27,163127,0, <=50K
20,34310,0, <=50K
49,81973,0, >50K
61,66614,0, <=50K
27,232782,0, <=50K
19,316868,0, <=50K
45,196584,0, >50K
70,105376,0, <=50K
31,185814,0, <=50K
22,175374,0, <=50K
36,108293,0, <=50K
64,181232,0, <=50K
43,174662,0, <=50K
47,186009,0, <=50K
34,198183,0, <=50K
33,163003,0, <=50K
21,296158,0, <=50K
52,252903,0, >50K
48,187715,0, <=50K
23,214542,0, <=50K
71,494223,0, <=50K
29,191535,0, <=50K
42,228456,0, <=50K
68,38317,0, <=50K
25,252752,0, <=50K
44,78374,0, <=50K
28,88419,0, <=50K
45,201080,0, >50K
36,207157,0, <=50K
39,235485,0, <=50K
46,102628,0, <=50K
18,25828,0, <=50K
66,54826,0, <=50K
27,124953,0, <=50K
28,175325,0, <=50K
51,96062,0, >50K
27,428030,0, <=50K
28,149624,0, >50K
27,253814,0, <=50K
21,312956,0, <=50K
34,483777,0, <=50K
18,183930,0, <=50K
33,37274,0, <=50K
44,181344,0, >50K
43,114580,0, <=50K
30,633742,0, <=50K
40,286370,0, >50K
37,29054,0, >50K
34,304030,0, <=50K
41,143129,0, <=50K
53,135105,0, <=50K
31,99928,0, <=50K
58,109567,0, >50K
38,155222,0, <=50K
24,159567,0, <=50K
41,523910,0, <=50K
47,120939,0, <=50K
41,130760,0, <=50K
23,197387,0, <=50K
36,99374,0, <=50K
40,56795,14084, >50K
35,138992,7298, >50K
24,32921,0, <=50K
26,397317,0, <=50K
19,170653,0, <=50K
51,259323,0, >50K
42,254817,0, <=50K
37,48211,0, <=50K
18,140164,0, <=50K
36,128757,7298, >50K
35,36270,0, <=50K
58,210563,15024, >50K
17,65368,0, <=50K
44,160943,0, <=50K
37,208358,0, >50K
35,153790,0, <=50K
60,85815,0, <=50K
54,125417,0, >50K
37,635913,0, >50K
50,313321,0, <=50K
38,182609,0, <=50K
45,109434,0, <=50K
25,255004,0, <=50K
31,197860,0, <=50K
64,187656,0, <=50K
90,51744,0, <=50K
54,176681,0, <=50K
53,140359,0, <=50K
18,243313,0, <=50K
60,24215,0, <=50K
66,167687,1409, <=50K
75,314209,0, <=50K
65,176796,0, <=50K
35,538583,3674, <=50K
41,130408,0, <=50K
25,159732,0, <=50K
33,110978,0, <=50K
28,76714,0, >50K
59,268700,0, <=50K
40,170525,0, <=50K
41,180138,0, >50K
38,115076,0, >50K
23,115458,0, <=50K
40,347890,0, >50K
41,196001,0, <=50K
24,273905,0, <=50K
20,119156,0, <=50K
38,179488,0, <=50K
56,203580,0, <=50K
58,236596,0, >50K
32,183916,0, <=50K
40,207578,0, >50K
45,153141,0, <=50K
41,112763,0, >50K
42,390781,0, <=50K
59,171328,0, <=50K
19,27382,0, <=50K
58,259014,0, <=50K
42,303044,0, >50K
20,117789,0, <=50K
32,172579,0, <=50K
45,187666,0, <=50K
50,204518,0, <=50K
36,150042,0, <=50K
45,98092,0, <=50K
17,245918,0, <=50K
59,146013,4064, <=50K
26,378322,0, <=50K
37,257295,0, >50K
19,218956,0, <=50K
64,21174,0, >50K
33,185480,0, <=50K
33,222205,0, >50K
61,69867,0, >50K
17,191260,1055, <=50K
50,30653,2407, <=50K
27,209109,0, <=50K
30,70377,0, <=50K
43,477983,0, <=50K
44,170924,7298, >50K
35,190174,0, <=50K
25,193787,0, <=50K
24,279472,7298, >50K
22,34918,0, <=50K
42,97688,5178, >50K
34,175413,0, <=50K
60,173960,0, <=50K
21,205759,0, <=50K
57,425161,15024, >50K
41,220531,0, >50K
50,176609,0, <=50K
25,371987,0, <=50K
50,193884,0, <=50K
36,200352,0, <=50K
31,127595,0, <=50K
29,220419,0, <=50K
21,231931,0, <=50K
27,248402,0, <=50K
65,111095,0, <=50K
37,57424,0, <=50K
39,157443,3464, <=50K
24,278130,0, <=50K
38,169469,0, <=50K
48,146268,7688, >50K
21,153718,0, <=50K
31,217460,0, >50K
55,238638,4386, >50K
24,303296,0, <=50K
43,173321,0, <=50K
26,193945,0, <=50K
46,83082,0, <=50K
35,193815,0, >50K
41,34987,0, >50K
26,59306,0, <=50K
34,142897,7298, >50K
19,860348,0, <=50K
36,205607,0, >50K
22,199698,0, <=50K
24,191954,0, <=50K
77,138714,0, <=50K
22,399087,0, <=50K
29,423158,0, <=50K
62,159841,0, <=50K
39,174308,0, <=50K
43,50356,0, <=50K
35,186110,0, <=50K
29,200381,0, <=50K
76,174309,0, <=50K
63,78383,0, <=50K
23,211601,0, <=50K
43,187728,0, >50K
58,321171,0, <=50K
66,127921,2050, <=50K
41,206565,0, <=50K
26,224563,0, <=50K
47,178686,0, <=50K
55,98545,0, <=50K
53,242606,0, <=50K
17,270942,0, <=50K
30,94235,0, <=50K
49,71195,0, <=50K
19,104112,0, <=50K
45,261192,0, <=50K
26,94936,0, <=50K
38,296478,7298, >50K
36,119272,7298, >50K
33,85043,0, <=50K
22,293364,0, <=50K
43,241895,0, <=50K
67,36135,0, <=50K
30,151989,0, <=50K
56,101128,0, <=50K
31,156464,0, <=50K
33,117963,0, >50K
26,192262,0, <=50K
33,111363,0, >50K
46,329752,0, <=50K
59,372020,0, >50K
38,95432,0, >50K
65,161400,0, <=50K
40,96129,0, >50K
42,111949,0, <=50K
26,117125,0, <=50K
36,348022,0, <=50K
62,270092,0, >50K
43,180609,0, <=50K
43,174575,0, >50K
22,410439,0, <=50K
28,92262,0, <=50K
56,183081,0, <=50K
22,362589,0, <=50K
57,212448,0, >50K
39,481060,0, <=50K
26,185885,0, <=50K
17,89821,0, <=50K
40,184018,0, >50K
45,256649,0, <=50K
44,160323,0, <=50K
20,350845,0, <=50K
33,267404,0, <=50K
23,35633,0, <=50K
46,80914,0, <=50K
38,172927,0, <=50K
54,174319,0, <=50K
46,214955,0, <=50K
25,344991,0, <=50K
46,108699,0, <=50K
36,117312,0, <=50K
23,396099,0, <=50K
29,134152,0, <=50K
44,162028,0, >50K
19,25429,0, <=50K
19,232392,0, <=50K
35,220098,0, >50K
27,301302,0, <=50K
46,277946,0, <=50K
34,98101,7688, >50K
34,196164,0, <=50K
44,115562,0, <=50K
45,96975,0, <=50K
20,137300,0, <=50K
25,86872,0, >50K
52,132178,0, >50K
20,416103,0, <=50K
28,108574,0, <=50K
50,288353,0, >50K
34,227689,0, <=50K
28,166481,0, <=50K
41,445382,0, >50K
28,110145,0, <=50K
46,317253,0, <=50K
28,123147,0, >50K
32,364657,0, <=50K
41,42346,0, <=50K
24,241951,0, <=50K
33,118500,0, <=50K
46,188386,15024, >50K
31,1033222,0, <=50K
35,92440,0, >50K
52,190762,0, <=50K
30,426017,0, <=50K
34,243867,0, <=50K
34,240283,0, <=50K
20,61777,0, <=50K
17,175024,2176, <=50K
32,92003,0, >50K
29,188401,0, <=50K
33,228528,0, <=50K
25,133373,0, <=50K
36,255191,0, <=50K
23,204653,0, <=50K
63,222289,0, >50K
47,287480,0, <=50K
80,107762,0, <=50K
17,202521,0, <=50K
40,204116,2174, <=50K
30,29662,0, >50K
27,116358,0, <=50K
33,208405,0, >50K
34,284843,594, <=50K
34,117018,0, <=50K
23,81281,0, <=50K
42,340148,0, <=50K
29,363425,0, <=50K
45,45857,0, <=50K
24,191073,0, <=50K
44,116632,0, >50K
27,405855,0, <=50K
20,298227,0, <=50K
44,290521,0, <=50K
51,56915,0, <=50K
20,146538,0, <=50K
17,258872,0, <=50K
19,206399,0, <=50K
45,197332,0, >50K
60,245062,0, >50K
42,197583,0, >50K
44,234885,0, >50K
40,72887,0, >50K
30,180374,0, <=50K
38,351299,0, <=50K
23,54012,0, <=50K
32,115745,0, <=50K
44,116632,0, <=50K
54,288825,0, <=50K
32,132601,0, <=50K
50,193374,0, <=50K
24,170070,0, <=50K
37,126708,0, <=50K
52,35598,0, <=50K
38,33983,0, <=50K
49,192776,0, >50K
30,118551,0, >50K
60,201965,0, >50K
22,139883,0, <=50K
35,285020,0, <=50K
30,303990,0, <=50K
67,49401,0, <=50K
46,279196,0, <=50K
17,211870,0, <=50K
22,281432,0, <=50K
27,161155,0, <=50K
23,197904,0, <=50K
33,111746,0, <=50K
43,170721,0, <=50K
28,70100,0, <=50K
41,193626,0, <=50K
52,271749,594, <=50K
25,189775,0, <=50K
63,401531,0, <=50K
59,286967,0, <=50K
45,164427,0, <=50K
38,91039,15024, >50K
40,347934,0, <=50K
46,371373,0, <=50K
35,32220,0, <=50K
34,187251,0, <=50K
33,178107,0, <=50K
41,343121,0, <=50K
20,262749,0, <=50K
23,403107,0, <=50K
26,64293,0, <=50K
72,303588,0, <=50K
23,324960,0, <=50K
62,114060,0, <=50K
52,48925,0, <=50K
58,180980,0, <=50K
25,181054,0, <=50K
24,388093,0, <=50K
19,249609,0, <=50K
43,112131,0, <=50K
47,543162,0, <=50K
39,91996,0, <=50K
49,141944,0, <=50K
53,251804,0, <=50K
32,37070,0, <=50K
34,337587,0, >50K
28,189346,0, <=50K
57,222216,0, <=50K
25,267044,0, <=50K
20,214635,0, <=50K
21,204226,0, <=50K
34,108116,0, >50K
38,99146,15024, >50K
50,196232,7688, >50K
24,248344,0, <=50K
37,186035,0, >50K
44,177905,0, >50K
28,85812,0, <=50K
42,221172,0, >50K
74,99183,0, <=50K
38,190387,0, <=50K
44,202692,0, <=50K
44,109339,0, <=50K
26,108658,0, <=50K
36,197202,0, <=50K
41,101739,0, >50K
67,231559,20051, >50K
39,207853,0, <=50K
57,190942,0, <=50K
29,102345,0, <=50K
31,41493,0, <=50K
34,190027,0, <=50K
44,210525,0, <=50K
29,133937,0, <=50K
30,237903,0, <=50K
27,163862,0, <=50K
27,201872,0, <=50K
32,84179,0, <=50K
58,51662,0, <=50K
35,233327,0, <=50K
21,259510,0, <=50K
28,184831,0, <=50K
46,245724,0, <=50K
36,27053,0, <=50K
72,205343,0, <=50K
35,229328,0, <=50K
33,319560,0, >50K
69,136218,0, <=50K
35,54576,0, <=50K
31,323069,0, <=50K
34,148291,0, <=50K
30,152453,0, <=50K
28,114053,0, <=50K
54,212960,0, >50K
47,264052,0, >50K
24,82804,0, <=50K
52,334273,0, >50K
20,27337,0, <=50K
43,188436,5013, <=50K
45,433665,0, <=50K
29,110663,0, <=50K
47,87490,0, <=50K
24,354351,0, <=50K
51,95469,0, <=50K
17,242718,0, <=50K
37,22463,0, >50K
27,158156,0, <=50K
29,350162,0, >50K
18,165532,0, <=50K
36,28738,0, <=50K
58,283635,0, <=50K
26,86646,0, <=50K
65,195733,0, >50K
57,69884,0, >50K
59,199713,0, <=50K
27,181659,0, <=50K
31,340939,0, <=50K
21,197747,0, <=50K
29,34292,0, <=50K
18,156764,0, <=50K
52,25826,0, >50K
57,103948,0, <=50K
42,137390,0, <=50K
55,105138,0, <=50K
60,39352,0, >50K
31,168387,7688, >50K
23,117789,0, <=50K
27,267147,0, <=50K
23,99399,0, <=50K
42,214242,0, >50K
25,200408,2174, <=50K
49,136455,0, <=50K
32,239824,0, <=50K
19,217039,0, <=50K
60,51290,0, <=50K
42,175674,0, <=50K
35,194404,0, <=50K
48,45612,0, <=50K
51,410114,0, >50K
29,182521,0, <=50K
36,339772,0, <=50K
17,169658,0, <=50K
52,200853,6849, <=50K
24,247564,0, <=50K
24,249909,0, <=50K
26,208122,1055, <=50K
27,109881,0, <=50K
39,207824,0, <=50K
30,369027,0, <=50K
50,114117,0, <=50K
52,51048,0, <=50K
46,102388,15024, >50K
23,190483,0, <=50K
45,462440,0, <=50K
65,109351,0, <=50K
29,34383,0, <=50K
47,241832,0, <=50K
30,124187,0, <=50K
34,153614,0, >50K
38,267556,0, <=50K
33,205469,0, >50K
49,268090,0, >50K
47,165039,0, <=50K
49,120451,0, <=50K
43,154374,15024, >50K
30,103649,0, >50K
58,35723,0, <=50K
19,262601,0, <=50K
21,226181,0, <=50K
33,175697,15024, >50K
47,248145,0, <=50K
52,289436,0, >50K
26,75654,0, <=50K
60,199378,0, <=50K
21,160968,0, <=50K
36,188563,5178, >50K
31,55849,0, <=50K
50,195322,0, >50K
31,402089,0, <=50K
71,78277,0, <=50K
58,158611,0, <=50K
30,169496,0, >50K
20,130959,0, <=50K
24,556660,4101, <=50K
35,292472,0, >50K
38,143774,0, <=50K
27,288341,0, <=50K
29,71592,0, <=50K
70,167358,1111, <=50K
34,106742,0, <=50K
44,219288,0, <=50K
43,174524,0, >50K
44,335183,0, >50K
35,261293,0, <=50K
27,111900,0, <=50K
43,194360,0, <=50K
20,81145,0, <=50K
42,341204,8614, >50K
27,249362,3411, <=50K
42,247019,0, >50K
20,114746,0, <=50K
24,172146,0, <=50K
48,110457,0, <=50K
17,80077,0, <=50K
17,368700,0, <=50K
33,182556,0, >50K
50,219420,0, >50K
22,240817,2597, <=50K
17,102726,0, <=50K
32,226267,0, <=50K
31,125457,0, <=50K
58,204021,0, <=50K
29,92262,0, <=50K
37,161141,0, >50K
34,190290,0, >50K
23,430828,0, <=50K
18,59342,0, <=50K
34,136721,0, <=50K
66,149422,0, <=50K
45,86644,0, <=50K
41,195124,0, <=50K
26,167350,0, <=50K
54,113000,0, <=50K
24,140027,0, <=50K
42,262425,0, <=50K
20,316702,0, <=50K
23,335453,0, <=50K
25,202480,0, <=50K
35,203628,0, >50K
31,118710,0, >50K
30,189620,0, <=50K
19,475028,0, <=50K
36,110866,0, <=50K
31,243605,0, <=50K
21,163870,0, <=50K
31,80145,0, <=50K
46,295566,25236, >50K
44,63042,0, >50K
40,229148,0, <=50K
45,242552,0, <=50K
60,177665,0, <=50K
18,208103,0, <=50K
28,296450,0, <=50K
36,70282,0, <=50K
36,271767,0, <=50K
40,144995,4386, <=50K
36,382635,0, <=50K
31,295697,0, <=50K
33,194141,0, <=50K
19,378418,0, <=50K
22,214399,0, <=50K
34,217460,0, >50K
33,182556,0, <=50K
41,125831,0, <=50K
29,271328,4650, <=50K
50,50459,0, >50K
42,162140,7298, >50K
43,177937,0, >50K
44,111502,0, <=50K
20,299047,0, <=50K
31,223212,0, <=50K
65,118474,9386, >50K
23,352139,0, <=50K
55,173093,0, <=50K
26,181655,0, <=50K
25,332702,0, <=50K
45,51164,0, <=50K
35,234901,2407, <=50K
36,131414,0, <=50K
43,260960,0, <=50K
56,156052,594, <=50K
42,279914,0, >50K
19,192453,0, <=50K
55,200939,0, <=50K
42,151408,14084, >50K
26,112847,0, <=50K
17,316929,0, <=50K
42,126319,0, >50K
55,197422,7688, >50K
32,267736,0, <=50K
29,267034,0, <=50K
46,193047,0, <=50K
29,356089,7688, >50K
22,223515,0, <=50K
58,87510,0, <=50K
23,145111,0, <=50K
39,48093,0, <=50K
27,31757,0, <=50K
54,285854,0, >50K
33,120064,0, <=50K
46,167381,0, >50K
37,103408,0, <=50K
36,101460,0, <=50K
59,420537,0, >50K
34,119411,0, <=50K
53,128272,0, >50K
51,386773,0, >50K
32,283268,0, <=50K
31,301526,0, <=50K
22,151790,0, <=50K
47,106252,0, <=50K
32,188557,0, <=50K
26,171114,0, <=50K
37,327323,0, <=50K
31,244147,0, <=50K
37,280282,0, >50K
55,116442,0, <=50K
23,282579,0, <=50K
36,51838,0, <=50K
34,73585,0, <=50K
43,226902,0, >50K
54,279129,0, <=50K
43,146908,0, <=50K
28,196690,0, <=50K
40,130760,0, >50K
41,49572,0, <=50K
40,237601,0, >50K
42,169628,0, <=50K
61,36671,0, <=50K
18,231193,0, <=50K
59,192130,0, <=50K
21,149704,1055, <=50K
48,102102,0, >50K
41,32185,0, <=50K
18,196061,0, <=50K
23,211046,2463, <=50K
60,31577,0, >50K
22,162343,0, <=50K
61,128831,0, <=50K
25,316688,0, <=50K
46,90758,0, >50K
43,274363,0, >50K
43,154538,0, <=50K
24,106085,0, <=50K
68,315859,0, <=50K
31,51471,0, <=50K
17,193830,0, <=50K
32,231043,5178, >50K
50,23780,0, <=50K
33,169879,3103, >50K
64,270333,0, >50K
20,138768,0, <=50K
30,191571,0, <=50K
22,219941,0, <=50K
43,94113,0, <=50K
22,137510,0, <=50K
17,32607,0, <=50K
47,93208,0, <=50K
41,254440,0, <=50K
56,186556,0, >50K
64,169871,0, <=50K
47,191277,0, >50K
48,167159,0, <=50K
31,171871,0, <=50K
29,154411,0, <=50K
30,129227,0, <=50K
32,110331,0, <=50K
57,34269,0, >50K
62,174355,0, <=50K
39,680390,0, <=50K
43,233130,0, <=50K
24,165474,0, <=50K
42,257780,0, <=50K
53,194259,4386, >50K
26,280093,0, <=50K
73,177387,0, <=50K
72,28929,0, <=50K
55,105304,0, <=50K
25,499233,0, <=50K
41,180572,0, >50K
24,321435,0, <=50K
63,86108,0, <=50K
17,198124,0, <=50K
35,135162,0, <=50K
51,146813,0, >50K
62,291175,0, <=50K
55,387569,4386, >50K
43,102895,0, <=50K
40,33274,0, <=50K
37,86551,0, >50K
39,138192,0, <=50K
31,118966,0, <=50K
61,99784,0, >50K
26,90980,0, <=50K
46,177407,0, <=50K
26,96467,0, <=50K
48,327886,0, >50K
34,111567,0, <=50K
34,166545,0, <=50K
59,142182,0, >50K
34,188798,0, <=50K
49,38563,0, >50K
18,216284,0, <=50K
43,191547,0, <=50K
48,285335,0, <=50K
28,142712,0, <=50K
33,80945,0, <=50K
24,309055,0, <=50K
21,62339,0, <=50K
17,368700,0, <=50K
39,176186,0, >50K
29,266855,0, <=50K
44,48087,0, >50K
24,121313,0, <=50K
71,143437,10605, >50K
51,160724,0, >50K
55,282753,0, <=50K
41,194636,0, >50K
23,153044,0, <=50K
38,411797,0, <=50K
39,117683,0, >50K
19,376540,0, <=50K
49,72393,0, <=50K
32,270335,0, >50K
27,96226,0, <=50K
38,95336,0, >50K
33,258498,0, <=50K
63,149698,0, <=50K
23,205865,0, <=50K
33,155781,0, <=50K
54,406468,0, <=50K
29,177119,2174, <=50K
48,144397,0, <=50K
35,372525,0, <=50K
28,164170,0, <=50K
37,183800,7688, >50K
42,177307,0, >50K
40,170108,0, <=50K
47,341995,0, <=50K
22,226508,0, <=50K
30,87418,0, >50K
28,109165,0, <=50K
63,28856,0, <=50K
51,175897,0, <=50K
22,99697,0, <=50K
27,90270,0, <=50K
35,152375,0, <=50K
46,171550,0, <=50K
37,211154,0, <=50K
24,202570,0, <=50K
37,168496,0, <=50K
53,68898,0, <=50K
27,93235,0, <=50K
38,278924,0, <=50K
53,311020,0, <=50K
34,175878,0, <=50K
23,543028,0, <=50K
39,202027,15024, >50K
43,158926,0, <=50K
67,76860,0, >50K
81,136063,0, <=50K
21,186648,0, <=50K
23,257509,0, <=50K
25,98155,0, <=50K
42,274198,0, <=50K
38,97083,0, <=50K
64,29825,0, <=50K
32,262153,0, <=50K
37,214738,0, <=50K
51,138022,0, >50K
22,91842,0, <=50K
33,373662,0, <=50K
42,162003,0, <=50K
19,52114,0, <=50K
51,241843,0, <=50K
23,375871,0, <=50K
37,186934,3103, >50K
37,176900,0, >50K
47,21906,0, <=50K
41,132222,0, >50K
33,143653,0, <=50K
31,111567,0, >50K
31,78602,0, <=50K
35,465507,0, <=50K
38,196373,0, >50K
18,293227,0, <=50K
20,241752,0, <=50K
54,166398,0, <=50K
40,184682,0, <=50K
36,108293,0, >50K
43,250802,0, <=50K
44,325159,0, <=50K
44,174675,0, >50K
43,227065,0, >50K
51,269080,0, <=50K
18,177722,0, <=50K
51,133461,0, <=50K
41,239683,0, <=50K
44,398473,0, >50K
33,298785,0, <=50K
33,123424,0, >50K
42,176286,0, >50K
25,150062,0, <=50K
32,169240,0, <=50K
32,288273,0, <=50K
36,526968,0, <=50K
28,57066,0, <=50K
20,323573,0, <=50K
35,368825,0, >50K
55,189721,0, <=50K
48,164966,0, >50K
36,94954,0, <=50K
34,202046,0, >50K
28,161538,0, <=50K
67,105252,0, >50K
37,200153,0, <=50K
44,32185,0, <=50K
25,178326,0, <=50K
21,255957,4101, <=50K
40,188693,0, >50K
78,182977,2964, <=50K
34,159929,0, <=50K
49,123207,0, <=50K
22,284317,0, <=50K
23,184699,0, <=50K
60,154474,0, <=50K
45,318280,0, >50K
63,254907,0, <=50K
41,349221,0, <=50K
47,335973,0, <=50K
44,126701,0, <=50K
51,122159,3325, <=50K
46,187370,0, <=50K
41,194636,0, <=50K
50,124793,0, <=50K
47,192835,0, >50K
35,290226,0, <=50K
56,112840,0, >50K
45,89325,0, <=50K
48,33109,0, >50K
40,82465,2580, <=50K
39,329980,15024, >50K
20,148294,0, <=50K
50,168212,0, >50K
38,343642,0, >50K
23,115244,0, <=50K
31,162572,0, <=50K
58,356067,0, <=50K
66,271567,0, <=50K
39,180804,0, >50K
54,123011,15024, >50K
26,109186,0, <=50K
51,220537,0, <=50K
34,124827,0, <=50K
50,767403,3103, >50K
42,118494,0, >50K
38,173208,0, <=50K
48,107373,0, <=50K
33,26973,0, >50K
51,191965,0, <=50K
22,122346,0, <=50K
19,117201,0, <=50K
41,198316,0, <=50K
48,123075,0, >50K
42,209370,0, <=50K
34,33117,0, <=50K
23,129042,0, <=50K
56,169133,0, <=50K
30,201624,0, <=50K
45,368561,0, >50K
48,207848,0, <=50K
48,138370,0, <=50K
31,93106,0, <=50K
20,223515,0, <=50K
27,389713,0, <=50K
32,206365,0, <=50K
76,431192,0, <=50K
19,241616,0, <=50K
66,150726,1409, <=50K
37,123785,0, <=50K
34,289984,0, <=50K
34,164309,0, <=50K
90,137018,0, <=50K
23,137994,0, <=50K
43,341204,0, <=50K
44,167005,7688, >50K
24,34446,0, <=50K
28,187160,0, <=50K
64,196288,0, <=50K
23,217961,0, <=50K
20,74631,0, <=50K
36,156667,0, >50K
61,125155,0, <=50K
53,263925,0, >50K
30,296453,7298, >50K
52,44728,0, >50K
38,193026,0, <=50K
32,87643,0, <=50K
30,106742,0, <=50K
41,302122,0, <=50K
49,193960,0, >50K
45,185385,0, >50K
43,277647,0, <=50K
61,128848,3471, <=50K
54,377701,0, <=50K
34,157886,0, <=50K
49,175958,0, >50K
38,223004,0, <=50K
35,199352,0, >50K
36,29984,0, <=50K
30,181651,0, <=50K
36,117312,0, <=50K
22,34029,0, <=50K
38,132879,0, >50K
37,215310,0, >50K
48,55863,0, >50K
17,220384,0, <=50K
19,36012,0, <=50K
27,137645,0, <=50K
22,191342,0, <=50K
49,31339,0, <=50K
43,227910,0, >50K
43,173728,0, <=50K
19,167816,0, <=50K
58,81642,0, <=50K
41,195258,0, >50K
31,232475,0, <=50K
30,241259,0, <=50K
32,118161,0, <=50K
29,201954,0, <=50K
42,150533,7298, >50K
38,412296,0, <=50K
41,133060,0, >50K
44,120539,0, >50K
31,196025,0, <=50K
34,107793,0, <=50K
21,163870,0, <=50K
22,361280,0, <=50K
62,92178,0, <=50K
19,80710,0, <=50K
29,260729,0, >50K
43,182254,0, <=50K
68,140282,0, <=50K
45,149865,0, >50K
39,218184,0, <=50K
41,118619,0, <=50K
34,196791,0, >50K
34,167999,0, <=50K
31,51259,0, <=50K
29,131088,0, <=50K
41,118212,3103, >50K
41,293791,0, <=50K
35,289430,0, >50K
33,35378,0, >50K
37,60227,0, <=50K
69,168139,0, <=50K
34,290763,0, <=50K
60,226355,0, >50K
36,51100,0, <=50K
41,227644,0, <=50K
58,205267,0, >50K
53,288020,0, <=50K
29,140863,0, <=50K
45,170915,4865, <=50K
34,50178,0, <=50K
36,112497,0, <=50K
48,95244,0, <=50K
20,117606,0, <=50K
35,89508,0, >50K
63,124244,0, <=50K
41,154374,0, <=50K
28,294936,0, <=50K
30,347132,0, <=50K
34,181934,0, <=50K
31,316672,0, <=50K
37,189382,0, <=50K
42,184018,0, <=50K
31,184307,0, >50K
46,246212,0, >50K
35,250504,0, >50K
27,138705,0, <=50K
41,328447,0, <=50K
19,194608,0, <=50K
20,230891,0, <=50K
59,212448,0, <=50K
40,214010,0, <=50K
56,200235,0, <=50K
33,354573,15024, >50K
30,205733,0, <=50K
46,185041,0, <=50K
61,84409,0, >50K
50,293196,7298, >50K
25,241626,0, <=50K
40,520586,0, <=50K
24,35633,0, <=50K
51,302847,0, <=50K
43,165309,0, <=50K
34,117529,0, <=50K
46,106092,0, >50K
28,445824,0, >50K
26,227332,0, <=50K
20,275691,0, <=50K
44,193459,3411, <=50K
51,284329,0, <=50K
33,114691,0, >50K
54,96062,0, >50K
50,133963,0, >50K
33,178506,0, <=50K
65,350498,10605, >50K
22,131573,0, <=50K
88,206291,0, <=50K
40,182302,0, <=50K
51,241346,0, <=50K
50,157043,0, <=50K
25,404616,0, >50K
20,411862,0, <=50K
47,183013,0, <=50K
58,169982,0, >50K
22,188544,0, <=50K
50,356619,0, >50K
47,45857,0, <=50K
